======================================================================
필터7 (V-q_frac 형상 편차) 이상치 제거 요약
sigma=30.0  |  rolling window=11  |  grid=100
생성: 2026-06-26 14:13:18
======================================================================

[전체 요약]
  대상 셀       :    123개
  전체 사이클   :   99,748개
  방전 제거     :      420개  (0.42%)
  충전 제거     :    1,404개  (1.41%)
  합산 제거(OR) :    1,770개  (1.77%)
  잔존 사이클   :   97,978개  (98.23%)

[셀별 상세]
셀ID               전체     방전제거     충전제거     합산제거     제거율
---------------------------------------------------------
b1c36            702        4      105      109  15.53%
b1c37            646        6       95       99  15.33%
b1c42            700        6       87       92  13.14%
b1c28            858        8      102      107  12.47%
b1c38            615       11       68       76  12.36%
b1c32            729       10       81       88  12.07%
b1c39            623       14       58       69  11.08%
b1c43            649        6       63       68  10.48%
b1c33            755        7       70       75   9.93%
b1c29            915        4       83       86   9.40%
b1c35            701        4       44       47   6.70%
b1c34            740        5       38       42   5.68%
b2c29            522        1       22       23   4.41%
b1c20            532       16        8       23   4.32%
b1c41          1,049       32       14       43   4.10%
b1c9           1,052       30       12       41   3.90%
b1c5           1,071       35        5       40   3.73%
b1c15            717        4       19       21   2.93%
b2c6             544        0       15       15   2.76%
b2c14            509        9        6       14   2.75%
b2c13            520        1       14       14   2.69%
b2c41            452        0       12       12   2.65%
b1c44            614       16        0       16   2.61%
b1c14            878        5       17       21   2.39%
b1c24          1,015        9       16       24   2.36%
b1c21            557        9        5       13   2.33%
b1c31            874        4       16       20   2.29%
b1c40            964       13       10       22   2.28%
b2c37            501        9        3       11   2.20%
b1c3           1,432       17       15       30   2.09%
b1c25            852        7       11       17   2.00%
b1c30            707        5       10       14   1.98%
b1c16            860       13        4       16   1.86%
b1c23          1,012        9       10       18   1.78%
b1c2           2,234        1       38       38   1.70%
b2c25            487        0        8        8   1.64%
b2c11            504        0        8        8   1.59%
b1c1           2,158        0       33       33   1.53%
b2c4             470        0        7        7   1.49%
b1c6             634        7        1        8   1.26%
b2c39            480        0        6        6   1.25%
b2c12            490        0        6        6   1.22%
b2c47            745        0        9        9   1.21%
b1c26            868        6        5       10   1.15%
b2c46            449        0        5        5   1.11%
b2c28            540        0        6        6   1.11%
b2c23            562        0        6        6   1.07%
b2c19            489        0        5        5   1.02%
b1c11            786        3        6        8   1.02%
b1c19            786        7        3        8   1.02%
b2c27            495        0        5        5   1.01%
b1c4           1,707       11        6       17   1.00%
b2c45            514        0        5        5   0.97%
b2c31            519        0        5        5   0.96%
b2c22            539        1        4        5   0.93%
b1c7             868        7        3        8   0.92%
b2c36            560        0        5        5   0.89%
b2c10            595        0        5        5   0.84%
b2c38            487        2        2        4   0.82%
b2c43            487        0        4        4   0.82%
b2c5             507        0        4        4   0.79%
b2c24            524        0        4        4   0.76%
b2c33            546        0        4        4   0.73%
b1c27            840        4        3        6   0.71%
b1c17            855        5        2        6   0.70%
b1c45            597        4        0        4   0.67%
b2c2             464        0        3        3   0.65%
b3c38          1,934       12        0       12   0.62%
b2c42            491        0        3        3   0.61%
b3c34          1,157        6        1        7   0.61%
b2c21            520        0        3        3   0.58%
b2c34            526        0        3        3   0.57%
b2c40            530        0        3        3   0.57%
b2c35            486        1        2        2   0.41%
b2c30            507        0        2        2   0.39%
b2c18            523        0        2        2   0.38%
b2c17            525        0        2        2   0.38%
b3c35          1,092        2        4        4   0.37%
b3c39          1,155        4        0        4   0.35%
b2c0             326        0        1        1   0.31%
b2c26            498        1        0        1   0.20%
b2c20            530        0        1        1   0.19%
b3c10          1,077        0        2        2   0.19%
b2c32            544        1        0        1   0.18%
b3c16          1,637        0        3        3   0.18%
b3c45          1,800        0        3        3   0.17%
b1c0           1,841        1        3        3   0.16%
b3c17          1,314        0        2        2   0.15%
b3c6             666        0        1        1   0.15%
b3c21            771        0        1        1   0.13%
b3c41            785        1        0        1   0.13%
b3c40            795        1        0        1   0.13%
b3c11            816        1        0        1   0.12%
b3c24            824        0        1        1   0.12%
b3c5             827        1        0        1   0.12%
b3c27            849        0        1        1   0.12%
b3c29            857        0        1        1   0.12%
b3c7           1,835        0        2        2   0.11%
b3c22          1,001        1        0        1   0.10%
b3c1           1,062        0        1        1   0.09%
b3c18          1,145        0        1        1   0.09%
b3c19          1,154        0        1        1   0.09%
b2c1             170        0        0        0   0.00%
b2c3             360        0        0        0   0.00%
b2c44            478        0        0        0   0.00%
b3c0           1,008        0        0        0   0.00%
b3c12            931        0        0        0   0.00%
b3c13            815        0        0        0   0.00%
b3c14            857        0        0        0   0.00%
b3c15            875        0        0        0   0.00%
b3c20            812        0        0        0   0.00%
b3c25            988        0        0        0   0.00%
b3c26          1,027        0        0        0   0.00%
b3c28            540        0        0        0   0.00%
b3c3           1,114        0        0        0   0.00%
b3c30            934        0        0        0   0.00%
b3c31            730        0        0        0   0.00%
b3c33          1,283        0        0        0   0.00%
b3c36            922        0        0        0   0.00%
b3c4           1,047        0        0        0   0.00%
b3c44            939        0        0        0   0.00%
b3c8             827        0        0        0   0.00%
b3c9           1,038        0        0        0   0.00%
