======================================================================
필터7 (V-q_frac 형상 편차) 이상치 제거 요약
sigma=50.0  |  rolling window=11  |  grid=100
생성: 2026-06-26 14:22:20
======================================================================

[전체 요약]
  대상 셀       :    123개
  전체 사이클   :   99,748개
  방전 제거     :      195개  (0.20%)
  충전 제거     :      833개  (0.84%)
  합산 제거(OR) :    1,004개  (1.01%)
  잔존 사이클   :   98,744개  (98.99%)

[셀별 상세]
셀ID               전체     방전제거     충전제거     합산제거     제거율
---------------------------------------------------------
b1c36            702        3       88       91  12.96%
b1c37            646        4       69       71  10.99%
b1c28            858        1       80       81   9.44%
b1c42            700        4       61       64   9.14%
b1c29            915        2       69       71   7.76%
b1c39            623        3       44       45   7.22%
b1c33            755        2       53       54   7.15%
b1c43            649        5       39       43   6.63%
b1c38            615        2       39       39   6.34%
b1c32            729        3       42       44   6.04%
b1c35            701        3       28       30   4.28%
b1c34            740        3       26       28   3.78%
b1c41          1,049       15       12       25   2.38%
b1c5           1,071       19        1       20   1.87%
b2c14            509        4        4        8   1.57%
b2c29            522        1        7        8   1.53%
b1c2           2,234        1       34       34   1.52%
b2c6             544        0        8        8   1.47%
b1c40            964        5       10       14   1.45%
b2c25            487        0        7        7   1.44%
b1c9           1,052       13        1       13   1.24%
b1c25            852        1        8        9   1.06%
b2c13            520        1        5        5   0.96%
b1c6             634        5        1        6   0.95%
b1c24          1,015        3        6        9   0.89%
b2c27            495        0        4        4   0.81%
b1c23          1,012        4        4        8   0.79%
b1c19            786        6        1        6   0.76%
b1c21            557        4        0        4   0.72%
b2c2             464        0        3        3   0.65%
b1c3           1,432        7        2        9   0.63%
b2c37            501        3        1        3   0.60%
b2c45            514        0        3        3   0.58%
b1c7             868        4        1        5   0.58%
b2c24            524        0        3        3   0.57%
b2c34            526        0        3        3   0.57%
b3c38          1,934       11        0       11   0.57%
b1c30            707        3        2        4   0.57%
b1c20            532        2        2        3   0.56%
b2c33            546        0        3        3   0.55%
b2c36            560        0        3        3   0.54%
b3c34          1,157        6        0        6   0.52%
b1c11            786        3        1        4   0.51%
b1c45            597        3        0        3   0.50%
b1c44            614        3        0        3   0.49%
b1c16            860        3        1        4   0.47%
b1c14            878        3        1        4   0.46%
b2c41            452        0        2        2   0.44%
b1c15            717        2        1        3   0.42%
b2c39            480        0        2        2   0.42%
b2c35            486        0        2        2   0.41%
b2c43            487        0        2        2   0.41%
b2c19            489        0        2        2   0.41%
b2c47            745        0        3        3   0.40%
b2c11            504        0        2        2   0.40%
b2c5             507        0        2        2   0.39%
b2c31            519        0        2        2   0.39%
b2c21            520        0        2        2   0.38%
b2c17            525        0        2        2   0.38%
b2c40            530        0        2        2   0.38%
b2c28            540        0        2        2   0.37%
b2c23            562        0        2        2   0.36%
b1c17            855        3        0        3   0.35%
b3c39          1,155        4        0        4   0.35%
b1c26            868        3        0        3   0.35%
b1c31            874        3        0        3   0.34%
b2c0             326        0        1        1   0.31%
b1c4           1,707        3        2        5   0.29%
b2c46            449        0        1        1   0.22%
b2c4             470        0        1        1   0.21%
b2c38            487        1        0        1   0.21%
b2c42            491        0        1        1   0.20%
b2c26            498        1        0        1   0.20%
b2c30            507        0        1        1   0.20%
b2c18            523        0        1        1   0.19%
b2c20            530        0        1        1   0.19%
b1c1           2,158        0        4        4   0.19%
b2c32            544        1        0        1   0.18%
b3c35          1,092        1        2        2   0.18%
b2c10            595        0        1        1   0.17%
b1c0           1,841        1        3        3   0.16%
b3c6             666        0        1        1   0.15%
b3c41            785        1        0        1   0.13%
b3c40            795        1        0        1   0.13%
b3c24            824        0        1        1   0.12%
b1c27            840        1        0        1   0.12%
b3c22          1,001        1        0        1   0.10%
b3c1           1,062        0        1        1   0.09%
b3c17          1,314        0        1        1   0.08%
b2c1             170        0        0        0   0.00%
b2c12            490        0        0        0   0.00%
b2c22            539        0        0        0   0.00%
b2c3             360        0        0        0   0.00%
b2c44            478        0        0        0   0.00%
b3c0           1,008        0        0        0   0.00%
b3c10          1,077        0        0        0   0.00%
b3c11            816        0        0        0   0.00%
b3c12            931        0        0        0   0.00%
b3c13            815        0        0        0   0.00%
b3c14            857        0        0        0   0.00%
b3c15            875        0        0        0   0.00%
b3c16          1,637        0        0        0   0.00%
b3c18          1,145        0        0        0   0.00%
b3c19          1,154        0        0        0   0.00%
b3c20            812        0        0        0   0.00%
b3c21            771        0        0        0   0.00%
b3c25            988        0        0        0   0.00%
b3c26          1,027        0        0        0   0.00%
b3c27            849        0        0        0   0.00%
b3c28            540        0        0        0   0.00%
b3c29            857        0        0        0   0.00%
b3c3           1,114        0        0        0   0.00%
b3c30            934        0        0        0   0.00%
b3c31            730        0        0        0   0.00%
b3c33          1,283        0        0        0   0.00%
b3c36            922        0        0        0   0.00%
b3c4           1,047        0        0        0   0.00%
b3c44            939        0        0        0   0.00%
b3c45          1,800        0        0        0   0.00%
b3c5             827        0        0        0   0.00%
b3c7           1,835        0        0        0   0.00%
b3c8             827        0        0        0   0.00%
b3c9           1,038        0        0        0   0.00%
